,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,0,6
1,Male,21,15,81,0,3
2,Female,20,16,6,0,6
3,Female,23,16,77,0,3
4,Female,31,17,40,0,6
5,Female,22,17,76,0,3
6,Female,35,18,6,0,6
7,Female,23,18,94,0,3
8,Male,64,19,3,0,6
9,Female,30,19,72,0,3
10,Male,67,19,14,0,6
11,Female,35,19,99,0,3
12,Female,58,20,15,0,6
13,Female,24,20,77,0,3
14,Male,37,20,13,0,6
15,Male,22,20,79,0,3
16,Female,35,21,35,0,6
17,Male,20,21,66,0,3
18,Male,52,23,29,0,6
19,Female,35,23,98,0,3
20,Male,35,24,35,0,6
21,Male,25,24,73,0,3
22,Female,46,25,5,0,6
23,Male,31,25,73,0,3
24,Female,54,28,14,0,6
25,Male,29,28,82,0,3
26,Female,45,28,32,0,6
27,Male,35,28,61,0,1
28,Female,40,29,31,0,6
29,Female,23,29,87,0,3
30,Male,60,30,4,0,6
31,Female,21,30,73,0,3
32,Male,53,33,4,5,6
33,Male,18,33,92,5,3
34,Female,49,33,14,5,6
35,Female,21,33,81,5,3
36,Female,42,34,17,5,6
37,Female,30,34,73,5,3
38,Female,36,37,26,5,6
39,Female,20,37,75,5,3
40,Female,65,38,35,5,1
41,Male,24,38,92,5,3
42,Male,48,39,36,5,1
43,Female,31,39,61,5,1
44,Female,49,39,28,5,6
45,Female,24,39,65,5,1
46,Female,50,40,55,5,1
47,Female,27,40,47,5,1
48,Female,29,40,42,5,1
49,Female,31,40,42,5,1
50,Female,49,42,52,5,1
51,Male,33,42,60,5,1
52,Female,31,43,54,5,1
53,Male,59,43,60,5,1
54,Female,50,43,45,5,1
55,Male,47,43,41,5,1
56,Female,51,44,50,5,1
57,Male,69,44,46,5,1
58,Female,27,46,51,2,1
59,Male,53,46,46,2,1
60,Male,70,46,56,2,1
61,Male,19,46,55,2,1
62,Female,67,47,52,2,1
63,Female,54,47,59,2,1
64,Male,63,48,51,2,1
65,Male,18,48,59,2,1
66,Female,43,48,50,2,1
67,Female,68,48,48,2,1
68,Male,19,48,59,2,1
69,Female,32,48,47,2,1
70,Male,70,49,55,2,1
71,Female,47,49,42,2,1
72,Female,60,50,49,2,1
73,Female,60,50,56,2,1
74,Male,59,54,47,2,4
75,Male,26,54,54,2,4
76,Female,45,54,53,2,4
77,Male,40,54,48,2,4
78,Female,23,54,52,2,4
79,Female,49,54,42,2,4
80,Male,57,54,51,2,4
81,Male,38,54,55,2,4
82,Male,67,54,41,2,4
83,Female,46,54,44,2,4
84,Female,21,54,57,2,4
85,Male,48,54,46,2,4
86,Female,55,57,58,6,4
87,Female,22,57,55,6,4
88,Female,34,58,60,6,4
89,Female,50,58,46,6,4
90,Female,68,59,55,6,4
91,Male,18,59,41,6,4
92,Male,48,60,49,6,4
93,Female,40,60,40,6,4
94,Female,32,60,42,6,4
95,Male,24,60,52,6,4
96,Female,47,60,47,6,4
97,Female,27,60,50,6,4
98,Male,48,61,42,6,4
99,Male,20,61,49,6,4
100,Female,23,62,41,6,4
101,Female,49,62,48,6,4
102,Male,67,62,59,6,4
103,Male,26,62,55,6,4
104,Male,49,62,56,6,4
105,Female,21,62,42,6,4
106,Female,66,63,50,6,4
107,Male,54,63,46,6,4
108,Male,68,63,43,6,4
109,Male,66,63,48,6,4
110,Male,65,63,52,6,4
111,Female,19,63,54,6,4
112,Female,38,64,42,6,4
113,Male,19,64,46,6,4
114,Female,18,65,48,6,4
115,Female,19,65,50,6,4
116,Female,63,65,43,6,4
117,Female,49,65,59,6,4
118,Female,51,67,43,6,4
119,Female,50,67,57,6,4
120,Male,27,67,56,6,4
121,Female,38,67,40,6,4
122,Female,40,69,58,3,4
123,Male,39,69,91,3,0
124,Female,23,70,29,3,7
125,Female,31,70,77,3,0
126,Male,43,71,35,3,4
127,Male,40,71,95,3,0
128,Male,59,71,11,3,7
129,Male,38,71,75,3,0
130,Male,47,71,9,3,7
131,Male,39,71,75,3,0
132,Female,25,72,34,3,4
133,Female,31,72,71,3,0
134,Male,20,73,5,3,7
135,Female,29,73,88,3,0
136,Female,44,73,7,3,7
137,Male,32,73,73,3,0
138,Male,19,74,10,3,7
139,Female,35,74,72,3,0
140,Female,57,75,5,3,7
141,Male,32,75,93,3,0
142,Female,28,76,40,3,4
143,Female,32,76,87,3,0
144,Male,25,77,12,3,7
145,Male,28,77,97,3,0
146,Male,48,77,36,3,4
147,Female,32,77,74,3,0
148,Female,34,78,22,3,7
149,Male,34,78,90,3,0
150,Male,43,78,17,3,7
151,Male,39,78,88,3,0
152,Female,44,78,20,3,7
153,Female,38,78,76,3,0
154,Female,47,78,16,3,7
155,Female,27,78,89,3,0
156,Male,37,78,1,3,7
157,Female,30,78,78,3,0
158,Male,34,78,1,3,7
159,Female,30,78,73,3,0
160,Female,56,79,35,3,7
161,Female,29,79,83,3,0
162,Male,19,81,5,3,7
163,Female,31,81,93,3,0
164,Male,50,85,26,1,7
165,Female,36,85,75,1,0
166,Male,42,86,20,1,7
167,Female,33,86,95,1,0
168,Female,36,87,27,1,7
169,Male,32,87,63,1,0
170,Male,40,87,13,1,7
171,Male,28,87,75,1,0
172,Male,36,87,10,1,7
173,Male,36,87,92,1,0
174,Female,52,88,13,1,7
175,Female,30,88,86,1,0
176,Male,58,88,15,1,7
177,Male,27,88,69,1,0
178,Male,59,93,14,1,7
179,Male,35,93,90,1,0
180,Female,37,97,32,7,2
181,Female,32,97,86,7,5
182,Male,46,98,15,7,2
183,Female,29,98,88,7,5
184,Female,41,99,39,7,2
185,Male,30,99,97,7,5
186,Female,54,101,24,7,2
187,Male,28,101,68,7,5
188,Female,41,103,17,7,2
189,Female,36,103,85,7,5
190,Female,34,103,23,7,2
191,Female,32,103,69,7,5
192,Male,33,113,8,7,2
193,Female,38,113,91,7,5
194,Female,47,120,16,4,2
195,Female,35,120,79,4,5
196,Female,45,126,28,4,2
197,Male,32,126,74,4,5
198,Male,32,137,18,4,2
199,Male,30,137,83,4,5
